global_step,mcc,train_loss,eval_loss
41,0.03741377683874904,2.9892494678497314,2.970834377335339
82,0.27124933812063723,2.810255527496338,2.6317273523749374
100,0.4951481145617849,2.4308252334594727,2.384494185447693
123,0.7154417194916144,2.1131794452667236,1.9524706195040447
164,0.9177045047865772,1.0891566276550293,1.0203317098501252
200,0.9806938791151254,0.6156212091445923,0.4422170934153766
205,0.9903337975187425,0.6984859108924866,0.38467208968430033
246,0.9967804561889998,0.16406548023223877,0.1386817933582678
287,1.0,0.04927260801196098,0.05331289704616477
300,1.0,0.040390364825725555,0.04004393454368522
328,0.9967807673479875,0.02060823328793049,0.02845955994434473
369,1.0,0.015270467847585678,0.0164372295868106
400,1.0,0.013940568082034588,0.013048355899206021
410,1.0,0.014762028120458126,0.012293782971072488
451,1.0,0.010723605751991272,0.009894206552062093
492,1.0,0.00876891054213047,0.008308980886529132
500,1.0,0.007853677496314049,0.008068628541034897
533,1.0,0.007977331057190895,0.0071861760622662745
574,1.0,0.007647466380149126,0.006318186761856806
600,1.0,0.005637817084789276,0.005862325509419528
615,1.0,0.0068319146521389484,0.005629960061391679
656,1.0,0.005148341413587332,0.005074366859001357
697,1.0,0.004916307516396046,0.004619956442450241
700,1.0,0.004129624925553799,0.004589953357580959
738,1.0,0.004497524816542864,0.0042399843166605
779,1.0,0.004239839501678944,0.003916610889818247
800,1.0,0.0041899955831468105,0.003770596035415443
820,1.0,0.003951283171772957,0.003637692340218076
861,1.0,0.003503492334857583,0.003397048292000119
900,1.0,0.0032421466894447803,0.0031967297332679352
902,1.0,0.0031739480327814817,0.003187044398722852
943,1.0,0.0034325651358813047,0.003001999433674827
984,1.0,0.0032226387411355972,0.0028411815306398926
1000,1.0,0.0030870833434164524,0.0027810372468992702
1025,1.0,0.002899862127378583,0.002694926326867284
1066,1.0,0.002674049697816372,0.0025664146978226377
1100,1.0,0.002695617265999317,0.0024695384270716006
1107,1.0,0.0022791139781475067,0.002450472715015455
1148,1.0,0.002618222963064909,0.002346959058763232
1189,1.0,0.0022062344942241907,0.002252724277219031
1200,1.0,0.0024347787257283926,0.0022290816911064632
1230,1.0,0.002199501032009721,0.002167849923574888
1271,1.0,0.002031237818300724,0.002091184871770987
