global_step,mcc,train_loss,eval_loss
75,0.0489226281429655,3.3800320625305176,3.268240276972453
100,0.14227801509842952,3.2683238983154297,3.097734079360962
150,0.318445814589155,3.260500431060791,2.6981120856602985
200,0.7360823978724693,2.241304636001587,2.1334492603937787
225,0.850652764009118,1.5696055889129639,1.7193865990638733
300,0.9732721399504127,0.7272082567214966,0.7657513042291005
300,0.9732721399504127,0.7272082567214966,0.7657513042291005
375,0.9839939029676897,0.19786734879016876,0.262628804842631
400,0.9964266032875477,0.1580124795436859,0.17506494929393132
450,0.9982145156768018,0.061699073761701584,0.08133237525820732
500,1.0,0.044864166527986526,0.04304662769039472
525,0.9982146902794541,0.1949339509010315,0.03420027763893207
600,0.9982146902794541,0.01979409158229828,0.0174630964299043
600,0.9982146902794541,0.01979409158229828,0.0174630964299043
675,1.0,0.010599198751151562,0.012711792197078466
700,1.0,0.009350229986011982,0.00925802268087864
750,1.0,0.006756887771189213,0.007775597075621287
800,1.0,0.007059372961521149,0.006613130954404672
825,1.0,0.006302967667579651,0.006184613835066557
900,1.0,0.005933687090873718,0.005213701774676641
900,1.0,0.005933687090873718,0.005213701774676641
975,1.0,0.0048155635595321655,0.004500839247678717
1000,1.0,0.003983728121966124,0.004296117999280493
1050,1.0,0.005057642702013254,0.003936607257152597
1100,1.0,0.003730300348252058,0.003631598042945067
1125,1.0,0.005177562590688467,0.003497548938418428
1200,1.0,0.004394039046019316,0.0031360636465251448
1200,1.0,0.004394039046019316,0.0031360636465251448
1275,1.0,0.003173314966261387,0.0028356259533514577
1300,1.0,0.00268826843239367,0.002747759005675713
1350,1.0,0.0037474841810762882,0.0025869984024514754
1400,1.0,0.002153025707229972,0.002440233255426089
1425,1.0,0.003527172142639756,0.0023733606096357105
1500,1.0,0.002447231439873576,0.0021881715798129637
1500,1.0,0.002447231439873576,0.0021881715798129637
1575,1.0,0.002039331942796707,0.0020307602997248373
1600,1.0,0.003677624510601163,0.001983012695175906
1650,1.0,0.0019816916901618242,0.0018912556565677126
1700,1.0,0.0018908806378021836,0.001807974735274911
1725,1.0,0.0018591739935800433,0.0017696570216988524
1800,1.0,0.0017346820095553994,0.0016611038629586498
1800,1.0,0.0017346820095553994,0.0016611038629586498
