Threshold,Accuracy,Weighted F1,Inscope Accuracy,OOS Recall,MCC
0.1,0.5035317860746721,0.5201836972792051,0.7168141592920354,0.3246753246753247,0.4190697944500741
0.2,0.6226034308779012,0.644386986815755,0.6526548672566371,0.5974025974025974,0.4746277223794737
0.3,0.6589303733602422,0.6686864474137902,0.5907079646017699,0.7161410018552876,0.4842478941806614
0.4,0.686175580221998,0.6830179988979004,0.5265486725663717,0.8200371057513914,0.4996450508983592
0.5,0.7033299697275479,0.6893408154450895,0.47123893805309736,0.8979591836734694,0.5169967885853658
0.6,0.7053481331987891,0.6826588122328711,0.4336283185840708,0.9332096474953617,0.5168028658065381
0.7,0.6841574167507568,0.6475173117892167,0.36283185840707965,0.9536178107606679,0.4770886651801918
0.8,0.6781029263370333,0.6274089842065953,0.32079646017699115,0.9777365491651205,0.46955337503955225
0.9,0.6387487386478304,0.5581202630086133,0.21902654867256638,0.9907235621521335,0.3941968849304019
