global_step,mcc,train_loss,eval_loss
52,0.015618999829071147,3.3157989978790283,3.295060153190906
100,0.15194244760341802,3.0897583961486816,2.9831165144076714
104,0.1341155552042914,3.1407852172851562,2.9660061368575463
156,0.6815403439984585,2.89314603805542,2.3054693043231964
200,0.8222967981450889,1.9050589799880981,1.7316755652427673
208,0.9141834131268949,1.519261360168457,1.533938548885859
260,0.9660890899536336,1.3009628057479858,0.8027959448786882
300,0.9870062869068875,0.8840746879577637,0.44703088586147016
312,0.9947941467363587,0.6657969355583191,0.38270918279886246
364,0.9817915970321776,0.1275816559791565,0.214721856208948
400,0.9922147550894792,0.25742307305336,0.12980968003662732
416,1.0,0.13560621440410614,0.09332964519182077
468,1.0,0.03233667090535164,0.043612775536110766
500,1.0,0.0301946010440588,0.030464474362536118
520,1.0,0.02194424904882908,0.0229594346243315
572,1.0,0.014761185273528099,0.01612605733008912
600,1.0,0.015239364467561245,0.01403906225011899
624,1.0,0.011298744939267635,0.012511847576556297
676,1.0,0.009137298911809921,0.010069010976272134
700,1.0,0.009275787509977818,0.009287668401017211
728,1.0,0.010665534995496273,0.00839059384396443
780,1.0,0.01529514417052269,0.007350107448963592
800,1.0,0.009811767376959324,0.007007549937742834
832,1.0,0.008346081711351871,0.006515947215330715
884,1.0,0.006207848433405161,0.005841879720369784
900,1.0,0.007257106713950634,0.005661116948781105
936,1.0,0.0076172430999577045,0.00529962131090892
988,1.0,0.005975247826427221,0.004852061746462893
1000,1.0,0.0038416371680796146,0.0047596723306924105
1040,1.0,0.005082871299237013,0.004475821105118554
1092,1.0,0.003949825186282396,0.004150250917658783
1100,1.0,0.004515018314123154,0.004103761085738929
1144,1.0,0.00412968173623085,0.003867794764049065
1196,1.0,0.0031884999480098486,0.0036216092412360013
1200,1.0,0.004237225279211998,0.003604552045894357
1248,1.0,0.004021225031465292,0.0034063787136871656
1300,1.0,0.0037145880050957203,0.003216816734773322
1300,1.0,0.0037145880050957203,0.003216816734773322
1352,1.0,0.0035830303095281124,0.0030451807408378674
1400,1.0,0.002926103537902236,0.002906436136422249
1404,1.0,0.004418825265020132,0.0028954993781203833
1456,1.0,0.003054356202483177,0.0027609795327477446
1500,1.0,0.002867345931008458,0.002655705150503379
1508,1.0,0.0023572815116494894,0.0026374717507188995
1560,1.0,0.0022416089195758104,0.002526673533094044
1600,1.0,0.002718471921980381,0.0024489216000522273
1612,1.0,0.002809862606227398,0.002426815902044137
1664,1.0,0.0025117190089076757,0.0023362424690276384
1700,1.0,0.0023699230514466763,0.002280304313619406
1716,1.0,0.003509317059069872,0.0022554639391063783
1768,1.0,0.002868139650672674,0.0021807193876996348
